Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Trinidad and Tobago,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2156.6106544,1596.99516969,2789.27373218
The Bahamas,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2040.45230361,1507.32477524,2637.36206778
Saint Lucia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1932.0191066000002,1417.26651923,2508.27284977
Saint Vincent and the Grenadines,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1765.41218273,1297.84978245,2291.97708688
Barbados,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2401.08306703,1777.1528170600002,3099.28651037
Haiti,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1363.44305249,982.4196499550001,1770.46445628
Puerto Rico,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2102.4821391299997,1549.34606371,2720.52181588
"Virgin Islands, U.S.",2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2337.34154656,1723.36631354,3019.74909099
Panama,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1510.20164201,1098.79808691,1980.25768961
El Salvador,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1498.64287511,1095.40938691,1964.59611666
Nicaragua,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1398.65711009,1017.95701068,1819.59711199
Mexico,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1519.01359333,1113.47731413,1973.5375489399999
Honduras,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1366.2039561000001,989.286717347,1783.7414335499998
Guatemala,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1249.47190376,911.8348959530001,1622.54235611
Costa Rica,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1739.72306227,1279.1243954,2263.2524212
Belize,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1425.0297627300001,1056.35870073,1851.9944280500001
United States,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2797.08310776,2060.53562677,3613.0659000600003
Greenland,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2441.2821720300003,1798.9741189999997,3169.9092415799996
Bermuda,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1849.04088671,1354.84805538,2415.92140489
Colombia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1720.52035519,1261.18162926,2250.3258204900003
Guyana,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1529.0521094,1129.9047433800001,1981.4855976600002
Ecuador,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1634.0628550999998,1192.24787651,2137.14924225
Paraguay,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1693.91710771,1248.03912068,2205.63225997
Suriname,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1735.93566212,1283.37011162,2249.2296586899997
Uruguay,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2746.9850276,2017.0815414800002,3548.84975829
Venezuela,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1465.37456223,1078.22613977,1907.8902381
Peru,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1607.03516856,1158.43139825,2098.0895354199997
Chile,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",3042.05517638,2234.77296937,3927.19515583
Brazil,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2124.1386122100002,1551.95136995,2767.44467123
Bolivia,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1505.10926748,1102.37760107,1958.30624404
Argentina,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",2630.2010420799998,1920.37104467,3405.57908244
Turkmenistan,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1445.8368357299998,1033.7794478,1893.14250255
Uzbekistan,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1503.30784483,1086.1548671100002,1968.18176626
Tajikistan,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1229.55206765,878.3909303019999,1608.25975002
Kyrgyzstan,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1484.42547453,1072.2594335699998,1939.65135986
Kazakhstan,2016,All ages,Both,Musculoskeletal disorders,"DALYs per 100,000",1701.37388643,1228.0619031,2221.14064141
